EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas,FechaAtencionTexto,PrioridadTriage,CostoAtencionCLP,FechaDT,Mes,Temporada,SexoPaciente_femenino,SexoPaciente_masculino,PrioridadTriage_Encoded
131450,sar la reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,ambulatoria (sar),-33.4429,-70.5477,Baja Complejidad,2023,2,5,Insuficiencia respiratoria aguda,92,2,3,8,32,47,09-01-2023,c3,91292.0,2023-01-09,1,Verano,False,True,3.0
131450,sar la reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,ambulatoria (sar),-33.4429,-70.5477,Baja Complejidad,2023,2,6,COVID-19 sospecha/confirmada,138,6,15,39,868,16,24-02-2025,c3,116394.0,2025-02-24,2,Verano,True,False,3.0
131622,sapu pudahuel sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,ambulatoria (sapu),-33.4372,-70.7766,Baja Complejidad,2023,2,1,Influenza y neumonia,132,10,12,20,56,34,24-02-2025,c5,82748.0,2025-02-24,2,Verano,True,False,1.0
131622,sapu pudahuel sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,ambulatoria (sapu),-33.4372,-70.7766,Alta Complejidad,2023,2,2,Infeccion respiratoria aguda alta,129,12,16,21,66,14,24-02-2025,c3,121280.0,2025-02-24,2,Verano,True,False,3.0
131622,sapu pudahuel sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,ambulatoria (sapu),-33.4372,-70.7766,Baja Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,44,18,10,6,8,2,09-01-2023,c4,19301.0,2023-01-09,1,Verano,True,False,2.0
131622,sapu pudahuel sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,ambulatoria (sapu),-33.4372,-70.7766,Baja Complejidad,2023,2,4,Crisis asmática,132,7,19,40,55,11,09-01-2023,c4,57006.0,2023-01-09,1,Verano,True,False,2.0
131622,sapu pudahuel sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,ambulatoria (sapu),-33.4372,-70.7766,Baja Complejidad,2023,2,5,Insuficiencia respiratoria aguda,79,2,4,4,26,43,24-02-2025,c1,98291.0,2025-02-24,2,Verano,True,False,5.0
131622,sapu pudahuel sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,ambulatoria (sapu),-33.4372,-70.7766,Baja Complejidad,2023,2,6,COVID-19 sospecha/confirmada,192,9,26,43,83,31,24-02-2025,c2,109541.0,2025-02-24,2,Verano,False,True,4.0
910333,hospital regional de temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,1,Influenza y neumonia,185,18,16,33,86,32,09-01-2023,c4,86297.0,2023-01-09,1,Verano,True,False,2.0
910333,hospital regional de temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,2,Infeccion respiratoria aguda alta,49,4,4,9,24,8,09-01-2023,c4,125991.0,2023-01-09,1,Verano,False,True,2.0
910333,hospital regional de temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,173,43,45,28,48,9,09-01-2023,c2,134384.0,2023-01-09,1,Verano,True,False,4.0
910333,hospital regional de temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,4,Crisis asmática,204,8,32,61,78,25,24-02-2025,c3,81281.0,2025-02-24,2,Verano,True,False,3.0
910333,hospital regional de temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,5,Insuficiencia respiratoria aguda,203,5,5,11,80,102,09-01-2023,c5,140416.0,2023-01-09,1,Verano,True,False,1.0
910333,hospital regional de temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,urgencia hospitalaria especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,6,COVID-19 sospecha/confirmada,60,4,5,12,26,13,24-02-2025,c3,109403.0,2025-02-24,2,Verano,False,True,3.0
110901,hospital regional de arica dr. juan noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-18.4783,-70.3126,Alta Complejidad,2023,3,1,Influenza y neumonia,46,4,7,9,18,8,24-02-2025,c5,126923.0,2025-02-24,2,Verano,False,True,1.0
110901,hospital regional de arica dr. juan noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-18.4783,-70.3126,Alta Complejidad,2023,3,2,Infeccion respiratoria aguda alta,132,16,17,23,62,14,24-02-2025,c3,104196.0,2025-02-24,2,Verano,True,False,3.0
110901,hospital regional de arica dr. juan noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-18.4783,-70.3126,Alta Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,197,50,43,43,49,12,16-01-2023,c1,111021.0,2023-01-16,1,Verano,False,True,5.0
110901,hospital regional de arica dr. juan noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-18.4783,-70.3126,Alta Complejidad,2023,3,4,Crisis asmática,56,3,5,15,27,6,16-01-2023,c1,31914.0,2023-01-16,1,Verano,False,True,5.0
110901,hospital regional de arica dr. juan noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-18.4783,-70.3126,Alta Complejidad,2023,3,5,Insuficiencia respiratoria aguda,92,4,8,6,36,38,24-02-2025,c4,98195.0,2025-02-24,2,Verano,True,False,2.0
110901,hospital regional de arica dr. juan noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-18.4783,-70.3126,Alta Complejidad,2023,3,6,COVID-19 sospecha/confirmada,90,3,8,16,49,14,16-01-2023,c3,65638.0,2023-01-16,1,Verano,False,True,3.0
130215,hospital dr. gustavo fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-33.0245,-71.5518,Alta Complejidad,2023,3,1,Influenza y neumonia,62,8,2,7,23,22,16-01-2023,c5,100943.0,2023-01-16,1,Verano,False,True,1.0
130215,hospital dr. gustavo fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-33.0245,-71.5518,Alta Complejidad,2023,3,2,Infeccion respiratoria aguda alta,185,12,24,41,82,26,16-01-2023,c4,115052.0,2023-01-16,1,Verano,True,False,2.0
130215,hospital dr. gustavo fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-33.0245,-71.5518,Alta Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,135,39,37,29,22,8,24-02-2025,c2,100680.0,2025-02-24,2,Verano,True,False,4.0
130215,hospital dr. gustavo fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-33.0245,-71.5518,Alta Complejidad,2023,3,4,Crisis asmática,146,7,18,58,48,15,24-02-2025,c4,89299.0,2025-02-24,2,Verano,False,True,2.0
130215,hospital dr. gustavo fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-33.0245,-71.5518,Alta Complejidad,2023,3,5,Insuficiencia respiratoria aguda,176,7,7,20,59,83,16-01-2023,c5,66773.0,2023-01-16,1,Verano,False,True,1.0
130215,hospital dr. gustavo fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,hospitalaria (ueh),-33.0245,-71.5518,Alta Complejidad,2023,3,6,COVID-19 sospecha/confirmada,171,15,21,34,81,20,16-01-2023,c3,66496.0,2023-01-16,1,Verano,False,True,3.0
131450,sar la reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,ambulatoria (sar),-33.4429,-70.5477,Baja Complejidad,2023,3,1,Influenza y neumonia,109,20,18,12,35,24,24-02-2025,c3,124793.0,2025-02-24,2,Verano,True,False,3.0
131450,sar la reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,ambulatoria (sar),-33.4429,-70.5477,Baja Complejidad,2023,3,2,Infeccion respiratoria aguda alta,119,6,14,20,53,26,16-01-2023,desconocido,100657.0,2023-01-16,1,Verano,False,True,0.0
131450,sar la reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,ambulatoria (sar),-33.4429,-70.5477,Baja Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,51,16,11,7,13,4,16-01-2023,c4,169673.0,2023-01-16,1,Verano,True,False,2.0
131450,sar la reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,ambulatoria (sar),-33.4429,-70.5477,Baja Complejidad,2023,3,4,Crisis asmática,143,10,15,35,67,16,24-02-2025,c4,67308.0,2025-02-24,2,Verano,False,True,2.0
131450,sar la reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,ambulatoria (sar),-33.4429,-70.5477,Baja Complejidad,2023,3,5,Insuficiencia respiratoria aguda,92,3,740,10,30,44,16-01-2023,c4,91475.0,2023-01-16,1,Verano,True,False,2.0
