EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas,FechaAtencionTexto,SexoPaciente,PrioridadTriage,CostoAtencionCLP,FechaAtencionTexto_year,FechaAtencionTexto_month,FechaAtencionTexto_day,FechaAtencionTexto_weekday,FechaAtencionTexto_hour
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,5,Insuficiencia respiratoria aguda,151.0,5,10,11,60,65,2023-01-02,M,C3,74665.0,2023,1,2,0,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,1,6,COVID-19 sospecha/confirmada,149.0,9,20,31,62,27,2023-01-02,M,C2,80110.0,2023,1,2,0,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,1,1,Influenza y neumonia,155.0,10,10,25,71,39,2023-02-01,F,C2,46598.0,2023,2,1,2,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,1,2,Infeccion respiratoria aguda alta,103.0,11,12,20,44,16,2023-02-01,M,C3,135556.0,2023,2,1,2,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,1,3,Bronquitis/Bronquiolitis aguda,69.0,26,18,11,10,4,2023-02-01,F,C5,100591.0,2023,2,1,2,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,1,4,Crisis asmática,58.0,2,6,21,25,4,2023-02-01,F,C3,137561.0,2023,2,1,2,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,1,5,Insuficiencia respiratoria aguda,132.0,3,6,1,55,67,2023-02-01,F,C3,82652.0,2023,2,1,2,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,1,6,COVID-19 sospecha/confirmada,113.0,6,10,22,51,24,2023-02-01,M,C5,84123.0,2023,2,1,2,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,1,1,Influenza y neumonia,185.0,14,13,24,86,48,2023-02-01,M,C2,127631.0,2023,2,1,2,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,1,2,Infeccion respiratoria aguda alta,153.0,9,16,27,76,25,2023-02-01,M,C3,74004.0,2023,2,1,2,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,1,3,Bronquitis/Bronquiolitis aguda,105.0,30,24,23,23,5,2023-01-02,F,C3,69795.0,2023,1,2,0,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,1,4,Crisis asmática,130.0,7,16,31,64,12,2023-01-02,M,C1,69269.0,2023,1,2,0,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,1,5,Insuficiencia respiratoria aguda,110.0,2,3,9,47,49,2023-01-02,M,C3,88472.0,2023,1,2,0,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,1,6,COVID-19 sospecha/confirmada,107.0,12,11,21,44,19,2023-01-02,M,C5,133879.0,2023,1,2,0,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,1,1,Influenza y neumonia,61.0,8,8,6,23,16,2023-02-01,F,C3,67149.0,2023,2,1,2,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,1,2,Infeccion respiratoria aguda alta,152.0,18,17,26,57,34,2023-01-02,M,C4,162740.0,2023,1,2,0,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,1,3,Bronquitis/Bronquiolitis aguda,105.0,31,31,21,18,4,2023-02-01,F,C2,128496.0,2023,2,1,2,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,1,4,Crisis asmática,189.0,5,19,44,108,13,2023-02-01,F,C4,57198.0,2023,2,1,2,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,1,5,Insuficiencia respiratoria aguda,165.0,5,14,8,53,85,2023-02-01,F,C4,73948.0,2023,2,1,2,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,1,6,COVID-19 sospecha/confirmada,108.0,9,14,25,44,16,2023-02-01,F,C3,101073.0,2023,2,1,2,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,2,1,Influenza y neumonia,106.0,9,8,16,38,35,2023-09-01,F,C3,87772.0,2023,9,1,4,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,2,2,Infeccion respiratoria aguda alta,131.0,13,16,29,55,18,2023-09-01,F,C2,88620.0,2023,9,1,4,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,100.0,27,26,19,21,7,2023-01-09,M,C3,52906.0,2023,1,9,0,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,2,4,Crisis asmática,67.0,9,7,15,27,9,2023-01-09,F,C3,127881.0,2023,1,9,0,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,2,5,Insuficiencia respiratoria aguda,201.0,11,11,11,69,99,2023-09-01,M,C4,93945.0,2023,9,1,4,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,2,6,COVID-19 sospecha/confirmada,151.0,8,19,39,63,22,2023-01-09,M,C4,92234.0,2023,1,9,0,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,2,1,Influenza y neumonia,92.0,6,7,12,44,23,2023-09-01,M,C5,95440.0,2023,9,1,4,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,2,2,Infeccion respiratoria aguda alta,164.0,13,22,37,66,26,2023-09-01,M,C4,88048.0,2023,9,1,4,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,205.0,63,50,35,51,6,2023-09-01,F,C2,94841.0,2023,9,1,4,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,2,4,Crisis asmática,175.0,7,20,46,90,12,2023-01-09,M,C3,68399.0,2023,1,9,0,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,2,5,Insuficiencia respiratoria aguda,118.0,1,4,9,42,62,2023-09-01,M,C4,83800.0,2023,9,1,4,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,2,6,COVID-19 sospecha/confirmada,146.0,8,19,23,79,17,2023-09-01,F,C2,108220.0,2023,9,1,4,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,1,Influenza y neumonia,193.0,11,15,38,79,50,2023-09-01,F,C2,74822.0,2023,9,1,4,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,2,Infeccion respiratoria aguda alta,148.0,8,17,31,62,30,2023-01-09,M,C3,82565.0,2023,1,9,0,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,83.0,18,29,14,19,3,2023-09-01,M,C1,124113.0,2023,9,1,4,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,4,Crisis asmática,147.0,9,19,38,64,17,2023-01-09,M,C3,91985.0,2023,1,9,0,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,5,Insuficiencia respiratoria aguda,92.0,2,3,8,32,47,2023-09-01,M,C3,91292.0,2023,9,1,4,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,6,COVID-19 sospecha/confirmada,138.0,6,15,39,868,16,2023-01-09,F,C3,116394.0,2023,1,9,0,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,1,Influenza y neumonia,132.0,10,12,20,56,34,2023-01-09,F,C5,82748.0,2023,1,9,0,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,,2023,2,2,Infeccion respiratoria aguda alta,129.0,12,16,21,66,14,2023-01-09,F,C3,121280.0,2023,1,9,0,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,44.0,18,10,6,8,2,2023-09-01,F,C4,19301.0,2023,9,1,4,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,4,Crisis asmática,132.0,7,19,40,55,11,2023-09-01,F,C4,57006.0,2023,9,1,4,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,5,Insuficiencia respiratoria aguda,79.0,2,4,4,26,43,2023-01-09,F,C1,98291.0,2023,1,9,0,0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,6,COVID-19 sospecha/confirmada,192.0,9,26,43,83,31,2023-09-01,M,C2,109541.0,2023,9,1,4,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,1,Influenza y neumonia,185.0,18,16,33,86,32,2023-09-01,F,C4,86297.0,2023,9,1,4,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,2,Infeccion respiratoria aguda alta,49.0,4,4,9,24,8,2023-09-01,M,C4,125991.0,2023,9,1,4,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,173.0,43,45,28,48,9,2023-09-01,F,C2,134384.0,2023,9,1,4,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,4,Crisis asmática,204.0,8,32,61,78,25,2023-09-01,F,C3,81281.0,2023,9,1,4,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,5,Insuficiencia respiratoria aguda,203.0,5,5,11,80,102,2023-09-01,F,C5,140416.0,2023,9,1,4,0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,6,COVID-19 sospecha/confirmada,60.0,4,5,12,26,13,2023-01-09,M,C3,109403.0,2023,1,9,0,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,1,Influenza y neumonia,46.0,4,7,9,18,8,2023-01-16,M,C5,126923.0,2023,1,16,0,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,2,Infeccion respiratoria aguda alta,132.0,16,17,23,62,14,2023-01-16,F,C3,104196.0,2023,1,16,0,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,197.0,50,43,43,49,12,2023-01-16,M,C1,111021.0,2023,1,16,0,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,4,Crisis asmática,56.0,3,5,15,27,6,2023-01-16,M,C1,31914.0,2023,1,16,0,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,5,Insuficiencia respiratoria aguda,92.0,4,8,6,36,38,2023-01-16,F,C4,98195.0,2023,1,16,0,0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,6,COVID-19 sospecha/confirmada,90.0,3,8,16,49,14,2023-01-16,M,C3,65638.0,2023,1,16,0,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,1,Influenza y neumonia,62.0,8,2,7,23,22,2023-01-16,M,C5,100943.0,2023,1,16,0,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,2,Infeccion respiratoria aguda alta,185.0,12,24,41,82,26,2023-01-16,F,C4,115052.0,2023,1,16,0,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,135.0,39,37,29,22,8,2023-01-16,F,C2,100680.0,2023,1,16,0,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,4,Crisis asmática,146.0,7,18,58,48,15,2023-01-16,M,C4,89299.0,2023,1,16,0,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,5,Insuficiencia respiratoria aguda,176.0,7,7,20,59,83,2023-01-16,M,C5,66773.0,2023,1,16,0,0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,6,COVID-19 sospecha/confirmada,171.0,15,21,34,81,20,2023-01-16,M,C3,66496.0,2023,1,16,0,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,1,Influenza y neumonia,109.0,20,18,12,35,24,2023-01-16,F,C3,124793.0,2023,1,16,0,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,2,Infeccion respiratoria aguda alta,119.0,6,14,20,53,26,2023-01-16,M,,100657.0,2023,1,16,0,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,51.0,16,11,7,13,4,2023-01-16,F,C4,169673.0,2023,1,16,0,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,4,Crisis asmática,143.0,10,15,35,67,16,2023-01-16,M,C4,67308.0,2023,1,16,0,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,5,Insuficiencia respiratoria aguda,92.0,3,740,10,30,44,2023-01-16,F,C4,91475.0,2023,1,16,0,0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,6,COVID-19 sospecha/confirmada,100.0,7,11,26,44,12,2023-01-16,F,C1,125412.0,2023,1,16,0,0
